"","Kommune","locality","site","utm_sone","date","month","year","utm_N","utm_E","stage","obs"
"226","Melhus","Storrønningen","Stor","32V",2021-09-27,"september",2021,7011958,563206,"juvenile",0
"227","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013643,563229,"adult",1
"228","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013643,563229,"juvenile",0
"229","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013643,563228,"adult",1
"230","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013643,563228,"juvenile",0
"231","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013656,563201,"adult",1
"232","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013656,563201,"juvenile",0
"233","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013655,563188,"adult",1
"234","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013655,563188,"juvenile",0
"235","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013656,563191,"adult",1
"236","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013656,563191,"juvenile",0
"237","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013659,563169,"adult",3
"238","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013659,563169,"juvenile",0
"239","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013660,563166,"adult",4
"240","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013660,563166,"juvenile",0
"241","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013660,563164,"adult",1
"242","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013660,563164,"juvenile",0
"243","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013666,563175,"adult",2
"244","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013666,563175,"juvenile",0
"245","Melhus","Kregnesteigen","Kreg","32V",2021-09-27,"september",2021,7013671,563167,"adult",1
